@relation InstanceResultListener

@attribute Key_Dataset {balance-scale}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

balance-scale,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2258,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.20246,0.267953,53.276774,61.477096,83.196146,40.976297,42.219849,1.320574,0.650417,0.670156,42.219849,0.670156,50.747362,1,29,0.058824,2,0.941176,32,0,0,0.935484,1,0.966667,0.938326,1,1,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.984401,0.938533,?,0.920635,0.112,1.468,0.109375,0.59375,109.375,593.75,66744,40644,6213,100,89.94709,?,?
balance-scale,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2258,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.228346,0.292514,60.088521,67.112112,83.196146,46.377282,36.818864,1.320574,0.736147,0.584426,36.855425,0.585007,44.299437,1,29,0.058824,2,0.941176,32,0,0,0.935484,1,0.966667,0.938326,0.996957,0.99643,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.972601,0.93838,?,0.920635,0.083,1.32,0.078125,0.46875,78.125,468.75,66728,40644,6213,100,93.650794,?,?
balance-scale,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2258,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.218225,0.287691,57.425199,66.005712,83.196146,45.614156,37.58199,1.320574,0.724034,0.59654,37.597758,0.59679,45.191706,1,29,0.088235,3,0.911765,31,0,0,0.90625,1,0.95082,0.909003,0.994929,0.994468,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.969832,0.927322,?,0.920635,0.073,1.213,0.046875,0.375,46.875,375,66616,40644,6213,100,91.534392,?,?
balance-scale,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.210092,0.279395,55.284988,64.102362,83.196146,43.983697,39.212449,1.320574,0.698154,0.62242,39.359811,0.624759,47.309656,1,29,0.058824,2,0.941176,32,0,0,0.935484,1,0.966667,0.938326,1,1,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.976625,0.936585,?,0.920635,0.032,1.005,0.03125,0.34375,31.25,343.75,66776,40644,6213,100,91.534392,?,?
balance-scale,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,562,63,56,7,0,88.888889,11.111111,0,0.794118,0.220938,0.290089,58.1392,66.55576,83.196146,45.304433,37.891713,1.320574,0.719118,0.601456,37.901912,0.601618,45.557294,0.965517,28,0.117647,4,0.882353,30,0.034483,1,0.875,0.965517,0.918033,0.845302,0.994929,0.994631,0.888889,0.094771,0.905229,0.111111,?,0.888889,?,?,0.977784,0.94284,?,0.888889,0.038,1.003,0.03125,0.28125,31.25,281.25,66669,40644,6213,100,90.47619,?,?
balance-scale,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,563,62,57,5,0,91.935484,8.064516,0,0.848485,0.224056,0.286162,59.480902,66.31101,79.57723,44.390467,35.186763,1.283504,0.715975,0.567528,35.249589,0.568542,44.296074,1,29,0.060606,2,0.939394,31,0,0,0.935484,1,0.966667,0.937437,0.998955,0.998851,0.919355,0.07087,0.92913,0.080645,?,0.919355,?,?,0.973835,0.938627,?,0.919355,0.019,0.975,0.015625,0.328125,15.625,328.125,66610,40713,6144,100,94.086022,?,?
balance-scale,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,563,62,57,5,0,91.935484,8.064516,0,0.850746,0.212896,0.281492,55.979004,64.526486,82.079511,44.084094,37.995417,1.323863,0.711034,0.612829,38.227152,0.616567,46.573318,1,28,0.088235,3,0.911765,31,0,0,0.903226,1,0.949153,0.907485,0.992647,0.992126,0.919355,0.068196,0.931804,0.080645,?,0.919355,?,?,0.967277,0.924821,?,0.919355,0.023,0.979,0.015625,0.234375,15.625,234.375,66669,40713,6144,100,90.322581,?,?
balance-scale,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,563,62,56,6,0,90.322581,9.677419,0,0.820809,0.224747,0.286272,59.094927,65.622222,82.079511,44.332964,37.746547,1.323863,0.715048,0.608815,37.751951,0.608902,45.994366,0.964286,27,0.088235,3,0.911765,31,0.035714,1,0.9,0.964286,0.931034,0.872393,0.997899,0.997493,0.903226,0.08237,0.91763,0.096774,?,0.903226,?,?,0.985469,0.951111,?,0.903226,0.016,0.983,0.015625,0.359375,15.625,359.375,66610,40713,6144,100,93.010753,?,?
balance-scale,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220613.2259,563,62,55,7,0,88.709677,11.290323,0,0.791045,0.20501,0.280868,53.905283,64.383439,82.079511,42.113303,39.966208,1.323863,0.679247,0.644616,40.02435,0.645554,48.7629,0.965517,28,0.090909,3,0.909091,30,0.034483,1,0.903226,0.965517,0.933333,0.872786,0.99373,0.99307,0.887097,0.095653,0.904347,0.112903,?,0.887097,?,?,0.983285,0.959512,?,0.887097,0.014,1.023,0.015625,0.234375,15.625,234.375,66738,40713,6144,100,88.709677,?,?
