@relation InstanceResultListener

@attribute Key_Dataset {car}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

car,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,150,23,0,86.705202,13.294798,0,0.692694,0.120228,0.222717,52.502997,65.878246,207.771695,85.625605,122.146091,1.200992,0.494946,0.706047,117.930898,0.681681,56.759848,0.966942,117,0.173077,9,0.826923,43,0.033058,4,0.928571,0.966942,0.947368,0.818289,0.988557,0.995395,0.867052,0.144607,0.855393,0.132948,0.878312,0.867052,0.853031,0.750937,0.982342,0.966596,0.605065,0.867052,0.301,0.032,0.234375,0.015625,234.375,15.625,158491,134291,16821,100,47.254335,?,?
car,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,158,15,0,91.32948,8.67052,0,0.806213,0.112149,0.209488,48.97497,61.965313,207.771695,78.407247,129.364448,1.200992,0.453221,0.747771,125.92817,0.727908,60.608915,0.975207,118,0.057692,3,0.942308,49,0.024793,3,0.975207,0.975207,0.975207,0.917514,0.998411,0.999308,0.913295,0.060539,0.939461,0.086705,0.926301,0.913295,0.901884,0.856427,0.994036,0.977805,0.679865,0.913295,0.109,0.019,0.09375,0.03125,93.75,31.25,158720,134291,16821,100,46.098266,?,?
car,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,159,14,0,91.907514,8.092486,0,0.818902,0.108684,0.209559,47.461897,61.98607,207.771695,76.923741,130.847954,1.200992,0.444646,0.756347,128.450141,0.742486,61.822733,0.975207,118,0.076923,4,0.923077,48,0.024793,3,0.967213,0.975207,0.971193,0.903322,0.993484,0.997503,0.919075,0.070625,0.929375,0.080925,0.926972,0.919075,0.912864,0.857944,0.988589,0.96516,0.762243,0.919075,0.103,0.012,0.09375,0.015625,93.75,15.625,158511,134291,16821,100,44.364162,?,?
car,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,145,28,0,83.815029,16.184971,0,0.622976,0.116601,0.222297,50.919057,65.753953,207.771695,84.091411,123.680284,1.200992,0.486078,0.714915,120.498091,0.696521,57.995431,0.950413,115,0.25,13,0.75,39,0.049587,6,0.898438,0.950413,0.923695,0.732044,0.98061,0.992725,0.83815,0.198652,0.801348,0.16185,0.836576,0.83815,0.827965,0.67449,0.977125,0.954497,0.620481,0.83815,0.093,0.007,0.09375,0,93.75,0,158358,134291,16821,100,44.364162,?,?
car,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,153,20,0,88.439306,11.560694,0,0.73321,0.111304,0.210581,48.505694,62.144037,210.310948,78.459237,131.851711,1.21567,0.453522,0.762149,129.104208,0.746267,61.387298,0.983471,119,0.153846,8,0.846154,44,0.016529,2,0.937008,0.983471,0.959677,0.860985,0.995391,0.998166,0.884393,0.125745,0.874255,0.115607,0.883523,0.884393,0.872213,0.79199,0.990321,0.973397,0.640904,0.884393,0.073,0.008,0.0625,0.015625,62.5,15.625,158387,134291,16821,100,45.809249,?,?
car,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,153,20,0,88.439306,11.560694,0,0.737002,0.119009,0.219897,51.863607,64.893163,210.310948,83.905879,126.405069,1.21567,0.485005,0.730665,121.861942,0.704404,57.943699,0.975207,118,0.115385,6,0.884615,46,0.024793,3,0.951613,0.975207,0.963265,0.874972,0.996662,0.998582,0.884393,0.103481,0.896519,0.115607,0.899306,0.884393,0.869183,0.800296,0.991856,0.978619,0.604904,0.884393,0.062,0.007,0.0625,0,62.5,0,158519,134291,16821,100,46.387283,?,?
car,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,158,15,0,91.32948,8.67052,0,0.806704,0.11707,0.215235,51.018664,63.51744,210.310948,83.381821,126.929127,1.21567,0.481976,0.733694,123.408287,0.713343,58.678965,0.983471,119,0.076923,4,0.923077,48,0.016529,2,0.96748,0.983471,0.97541,0.916954,0.997457,0.998931,0.913295,0.067549,0.932451,0.086705,0.908095,0.913295,0.908032,0.856619,0.989392,0.957482,0.714077,0.913295,0.062,0.009,0.0625,0.015625,62.5,15.625,158588,134291,16821,100,47.543353,?,?
car,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1555,173,155,18,0,89.595376,10.404624,0,0.762743,0.114138,0.21548,49.740561,63.589872,210.310948,81.797504,128.513444,1.21567,0.472818,0.742852,123.823756,0.715744,58.876515,0.983471,119,0.096154,5,0.903846,47,0.016529,2,0.959677,0.983471,0.971429,0.902951,0.997934,0.999119,0.895954,0.088404,0.911596,0.104046,0.911042,0.895954,0.875392,0.824824,0.994184,0.976924,0.567857,0.895954,0.077,0.008,0.078125,0,78.125,0,158603,134291,16821,100,44.364162,?,?
car,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0258,1556,172,163,9,0,94.767442,5.232558,0,0.882754,0.105701,0.202377,46.324958,60.104468,205.704619,72.678877,133.025742,1.195957,0.422552,0.773405,130.149188,0.756681,63.269939,0.983471,119,0.058824,3,0.941176,48,0.016529,2,0.97541,0.983471,0.979424,0.930013,0.996273,0.99851,0.947674,0.051274,0.948726,0.052326,0.95037,0.947674,0.942914,0.903354,0.994373,0.983534,0.841375,0.947674,0.062,0.007,0.046875,0.015625,46.875,15.625,158709,134376,16736,100,44.186047,?,?
