@relation InstanceResultListener

@attribute Key_Dataset {hayes-roth}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

hayes-roth,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,118,14,9,5,0,64.285714,35.714286,0,0.421488,0.316522,0.368757,73.183071,79.437566,21.527705,13.557918,7.969786,1.537693,0.968423,0.56927,8.018914,0.57278,37.249275,0.833333,5,0.5,4,0.5,4,0.166667,1,0.555556,0.833333,0.666667,0.344265,0.854167,0.870833,0.642857,0.253968,0.746032,0.357143,0.690476,0.642857,0.635714,0.435539,0.889881,0.871854,0.655556,0.642857,0.004,0.001,0,0,0,0,22242,9899,2723,100,97.619048,?,?
hayes-roth,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,118,14,12,2,0,85.714286,14.285714,0,0.777778,0.278801,0.321147,64.461619,69.18153,21.527705,11.33749,10.190214,1.537693,0.809821,0.727872,10.190214,0.727872,47.335349,0.8,4,0.111111,1,0.888889,8,0.2,1,0.8,0.8,0.8,0.688889,0.977778,0.966667,0.857143,0.093254,0.906746,0.142857,0.857143,0.857143,0.857143,0.763889,0.983135,0.977891,0.877778,0.857143,0.006,0,0,0,0,0,22189,9899,2723,100,95.238095,?,?
hayes-roth,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,7,6,0,53.846154,46.153846,0,0.264151,0.331912,0.381899,76.513515,81.988906,20.131632,13.58738,6.544252,1.548587,1.045183,0.503404,6.756706,0.519747,33.562635,0.8,4,0.625,5,0.375,3,0.2,1,0.444444,0.8,0.571429,0.184466,0.85,0.86,0.538462,0.288462,0.711538,0.461538,0.65812,0.538462,0.527473,0.314706,0.884615,0.892308,0.52381,0.538462,0.004,0,0,0,0,0,22060,9968,2654,100,92.307692,?,?
hayes-roth,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,9,4,0,69.230769,30.769231,0,0.518519,0.326282,0.375383,75.215698,80.59003,20.131632,13.310503,6.821129,1.548587,1.023885,0.524702,7.000383,0.538491,34.773054,0.6,3,0.25,2,0.75,6,0.4,2,0.6,0.6,0.6,0.35,0.825,0.833333,0.692308,0.192308,0.807692,0.307692,0.717949,0.692308,0.695105,0.520709,0.913462,0.913919,0.709091,0.692308,0.006,0.001,0,0.015625,0,15.625,22172,9968,2654,100,94.871795,?,?
hayes-roth,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,8,5,0,61.538462,38.461538,0,0.398148,0.32318,0.377545,74.500399,81.054118,20.131632,13.137158,6.994474,1.548587,1.010551,0.538036,7.020073,0.540006,34.870861,0.6,3,0.375,3,0.625,5,0.4,2,0.5,0.6,0.545455,0.219578,0.9,0.87619,0.615385,0.240385,0.759615,0.384615,0.653846,0.615385,0.625175,0.398722,0.923077,0.904762,0.648485,0.615385,0.004,0,0,0,0,0,22215,9968,2654,100,92.307692,?,?
hayes-roth,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,9,4,0,69.230769,30.769231,0,0.527273,0.325919,0.378038,75.13193,81.160128,20.131632,13.188534,6.943098,1.548587,1.014503,0.534084,7.121368,0.547798,35.374024,0.4,2,0.125,1,0.875,7,0.6,3,0.666667,0.4,0.5,0.317543,0.875,0.835,0.692308,0.192308,0.807692,0.307692,0.70696,0.692308,0.679487,0.512423,0.903846,0.882051,0.722222,0.692308,0.004,0,0,0,0,0,22268,9968,2654,100,100,?,?
hayes-roth,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,8,5,0,61.538462,38.461538,0,0.398148,0.335751,0.385854,77.398517,82.838087,20.131632,13.62041,6.511222,1.548587,1.047724,0.500863,6.545563,0.503505,32.51382,0.6,3,0.25,2,0.75,6,0.4,2,0.6,0.6,0.6,0.35,0.85,0.79619,0.615385,0.240385,0.759615,0.384615,0.653846,0.615385,0.625175,0.398722,0.884615,0.859799,0.648485,0.615385,0.004,0.001,0.015625,0,15.625,0,22242,9968,2654,100,100,?,?
hayes-roth,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,10,3,0,76.923077,23.076923,0,0.638889,0.305059,0.351277,70.323271,75.41489,20.131632,11.996085,8.135547,1.548587,0.922776,0.625811,8.135547,0.625811,40.411763,0.8,4,0.125,1,0.875,7,0.2,1,0.8,0.8,0.8,0.675,0.9625,0.926667,0.769231,0.144231,0.855769,0.230769,0.794872,0.769231,0.772028,0.645709,0.961538,0.942949,0.775758,0.769231,0.003,0,0,0,0,0,22205,9968,2654,100,94.871795,?,?
hayes-roth,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,11,2,0,84.615385,15.384615,0,0.759259,0.273883,0.32294,63.13651,69.331179,20.131632,10.471094,9.660538,1.548587,0.805469,0.743118,9.780266,0.752328,48.581585,1,5,0.125,1,0.875,7,0,0,0.833333,1,0.909091,0.853913,0.95,0.926667,0.846154,0.096154,0.903846,0.153846,0.858974,0.846154,0.841958,0.767697,0.951923,0.942949,0.836364,0.846154,0.004,0.001,0,0.015625,0,15.625,22375,9968,2654,100,94.871795,?,?
