@relation InstanceResultListener

@attribute Key_Dataset {lymphography}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

lymphography,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,14,1,0,93.333333,6.666667,0,0.864865,0.068662,0.165198,26.572662,47.373759,15.917931,3.955269,11.962662,1.061195,0.263685,0.797511,12.126788,0.808453,76.183196,?,0,0,0,1,15,?,0,?,?,?,?,?,?,0.933333,0.044444,0.955556,0.066667,0.942857,0.933333,0.933937,0.872872,0.981481,0.98381,0.932127,0.933333,0.012,0.002,0,0,0,0,69904,28362,7004,100,38.333333,?,?
lymphography,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,13,2,0,86.666667,13.333333,0,0.727273,0.101803,0.235922,38.813521,66.470984,16.325336,12.15269,4.172647,1.088356,0.810179,0.278176,10.559837,0.703989,64.683732,?,0,0,0,1,15,?,0,?,?,?,?,?,?,0.866667,0.152381,0.847619,0.133333,0.893333,0.866667,0.862963,0.755929,0.857143,0.842513,0.861111,0.866667,0.011,0.002,0,0,0,0,68527,28362,7004,93.333333,38.333333,?,?
lymphography,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,15,0,0,100,0,0,1,0.045787,0.111811,16.727362,30.009486,20.950725,2.359128,18.591597,1.396715,0.157275,1.23944,18.591597,1.23944,88.739635,1,1,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0.001,0,0,0,0,70241,28362,7004,100,36.666667,?,?
lymphography,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,11,4,0,73.333333,26.666667,0,0.495798,0.155871,0.306294,56.944788,82.207964,20.950725,12.939578,8.011147,1.396715,0.862639,0.534076,11.518695,0.767913,54.979934,0,0,0,0,1,14,1,1,?,0,?,?,1,1,0.733333,0.24127,0.75873,0.266667,?,0.733333,?,?,0.87619,0.890245,?,0.733333,0.014,0.002,0,0.015625,0,15.625,67454,28362,7004,100,51.666667,?,?
lymphography,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,13,2,0,86.666667,13.333333,0,0.758065,0.063764,0.190113,23.33663,51.125051,19.950725,4.628359,15.322365,1.330048,0.308557,1.021491,16.183747,1.078916,81.11859,?,0,0,0,1,15,?,0,?,?,?,?,?,?,0.866667,0.120635,0.879365,0.133333,0.866667,0.866667,0.866667,0.746032,0.983069,0.983069,0.902778,0.866667,0.012,0.001,0.015625,0,15.625,0,68951,28362,7004,100,35,?,?
lymphography,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,12,3,0,80,20,0,0.618644,0.103983,0.272685,38.055969,73.330073,19.950725,10.038413,9.912312,1.330048,0.669228,0.660821,13.663159,0.910877,68.484524,?,0,0,0,1,15,?,0,?,?,?,?,?,?,0.8,0.228571,0.771429,0.2,0.854545,0.8,0.782456,0.655433,0.907937,0.916284,0.836257,0.8,0.011,0.002,0.015625,0,15.625,0,68540,28362,7004,93.333333,35,?,?
lymphography,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,13,2,0,86.666667,13.333333,0,0.758065,0.087714,0.215551,32.101817,57.965855,19.950725,6.146992,13.803733,1.330048,0.409799,0.920249,14.853983,0.990266,74.453351,?,0,0,0,1,15,?,0,?,?,?,?,?,?,0.866667,0.120635,0.879365,0.133333,0.866667,0.866667,0.866667,0.746032,0.949206,0.950556,0.902778,0.866667,0.013,0.002,0.015625,0,15.625,0,68611,28362,7004,100,41.666667,?,?
lymphography,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,133,15,14,1,0,93.333333,6.666667,0,0.886364,0.080773,0.180902,29.561585,48.647999,19.950725,4.928148,15.022577,1.330048,0.328543,1.001505,15.313615,1.020908,76.757188,?,0,0.066667,1,0.933333,14,?,0,0,?,?,?,?,?,0.933333,0,1,0.066667,1,0.933333,0.964444,0.933333,0.990476,0.992593,0.977778,0.933333,0.014,0.002,0.015625,0,15.625,0,68025,28362,7004,100,41.666667,?,?
lymphography,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.031,134,14,11,3,0,78.571429,21.428571,0,0.533333,0.120865,0.295506,46.516122,84.144024,14.999586,11.782805,3.216781,1.071399,0.841629,0.22977,8.27069,0.590764,55.139457,?,0,0,0,1,14,?,0,?,?,?,?,?,?,0.785714,0.285714,0.714286,0.214286,0.844156,0.785714,0.766917,0.603023,0.854167,0.880571,0.754386,0.785714,0.012,0.002,0.015625,0,15.625,0,69629,28543,6823,92.857143,39.285714,?,?
