@relation InstanceResultListener

@attribute Key_Dataset {promoters}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

promoters,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,11,0,0,100,0,0,1,0.11298,0.209829,22.574781,41.924275,11.015717,2.305813,8.709904,1.001429,0.209619,0.791809,8.709807,0.791801,79.06709,1,6,0,0,1,5,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.027,0.004,0.015625,0.015625,15.625,15.625,209867,57502,16090,100,63.636364,?,?
promoters,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,10,1,0,90.909091,9.090909,0,0.813559,0.172267,0.244534,34.421077,48.85844,11.015717,3.415029,7.600688,1.001429,0.310457,0.690972,7.612535,0.692049,69.106126,1,6,0.2,1,0.8,4,0,0,0.857143,1,0.923077,0.828079,1,1,0.909091,0.109091,0.890909,0.090909,0.922078,0.909091,0.907537,0.828079,1,1,0.905983,0.909091,0.03,0.003,0.03125,0,31.25,0,209106,57502,16090,100,81.818182,?,?
promoters,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,11,0,0,100,0,0,1,0.138564,0.221523,27.686846,44.260832,11.015717,2.755556,8.260161,1.001429,0.250505,0.750924,8.260161,0.750924,74.985232,1,6,0,0,1,5,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.028,0.004,0.03125,0,31.25,0,209138,57502,16090,100,77.272727,?,?
promoters,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,10,1,0,90.909091,9.090909,0,0.819672,0.127212,0.201392,25.418633,40.238547,11.015717,2.514901,8.500816,1.001429,0.228627,0.772801,8.531761,0.775615,77.450799,1,5,0.166667,1,0.833333,5,0,0,0.833333,1,0.909091,0.833333,1,1,0.909091,0.075758,0.924242,0.090909,0.924242,0.909091,0.909091,0.833333,1,1,0.909091,0.909091,0.027,0.003,0.015625,0.015625,15.625,15.625,209471,57502,16090,100,81.818182,?,?
promoters,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,7,4,0,63.636364,36.363636,0,0.266667,0.262125,0.370487,52.375842,74.024191,11.015717,6.063323,4.952394,1.001429,0.551211,0.450218,5.267206,0.478837,47.815369,0.6,3,0.333333,2,0.666667,4,0.4,2,0.6,0.6,0.6,0.266667,0.833333,0.858333,0.636364,0.369697,0.630303,0.363636,0.636364,0.636364,0.636364,0.266667,0.833333,0.868723,0.633333,0.636364,0.025,0.004,0.03125,0,31.25,0,209045,57502,16090,100,77.272727,?,?
promoters,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,95,11,11,0,0,100,0,0,1,0.108134,0.177928,21.606553,35.550458,11.015717,2.043249,8.972468,1.001429,0.18575,0.815679,8.972468,0.815679,81.451514,1,5,0,0,1,6,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.026,0.005,0.015625,0.015625,15.625,15.625,209952,57502,16090,100,72.727273,?,?
promoters,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,96,10,9,1,0,90,10,0,0.8,0.170367,0.318106,34.073403,63.621258,10,4.599104,5.400896,1,0.45991,0.54009,6.786651,0.678665,67.866506,1,5,0.2,1,0.8,4,0,0,0.833333,1,0.909091,0.816497,0.96,0.966667,0.9,0.1,0.9,0.1,0.916667,0.9,0.89899,0.816497,0.96,0.966667,0.89899,0.9,0.029,0.003,0.03125,0,31.25,0,210917,57995,15597,100,75,?,?
promoters,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,96,10,6,4,0,60,40,0,0.2,0.392008,0.511483,78.401516,102.296538,10,10.673627,-0.673627,1,1.067363,-0.067363,2.190589,0.219059,21.905892,0.6,3,0.4,2,0.6,3,0.4,2,0.6,0.6,0.6,0.2,0.68,0.783333,0.6,0.4,0.6,0.4,0.6,0.6,0.6,0.2,0.68,0.7125,0.6,0.6,0.025,0.003,0.015625,0.015625,15.625,15.625,208997,57995,15597,100,90,?,?
promoters,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0313,96,10,10,0,0,100,0,0,1,0.217237,0.263967,43.447392,52.79335,10,3.808586,6.191414,1,0.380859,0.619141,6.191414,0.619141,61.914142,1,5,0,0,1,5,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0.003,0.03125,0,31.25,0,209177,57995,15597,100,90,?,?
