@relation InstanceResultListener

@attribute Key_Dataset {solar-flare-C-class}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

solar-flare-C-class,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,111,28,0,79.856115,20.143885,0,0.095725,0.057169,0.174134,92.554886,100.860024,116.011324,122.07789,-6.066566,0.834614,0.878258,-0.043644,3.636553,0.026162,3.134654,0.932203,110,0.761905,16,0.238095,5,0.067797,8,0.873016,0.932203,0.901639,0.209462,0.757264,0.922453,0.798561,0.654527,0.345473,0.201439,?,0.798561,?,?,0.753638,0.80908,?,0.798561,0.048,0.009,0.046875,0,46.875,0,184598,149161,19174,95.683453,24.140687,?,?
solar-flare-C-class,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,112,27,0,80.57554,19.42446,0,0.156629,0.061728,0.186225,98.260141,105.781243,120.647603,137.167084,-16.51948,0.867968,0.986814,-0.118845,-13.620251,-0.097987,-11.289284,0.948718,111,0.681818,15,0.318182,7,0.051282,6,0.880952,0.948718,0.91358,0.334577,0.69425,0.90979,0.805755,0.580405,0.419595,0.194245,?,0.805755,?,?,0.686806,0.788397,?,0.805755,0.046,0.009,0.046875,0,46.875,0,184139,149161,19174,93.52518,24.30056,?,?
solar-flare-C-class,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,113,26,0,81.294964,18.705036,0,0.208151,0.059238,0.176605,94.097756,100.076953,124.307949,125.671876,-1.363928,0.894302,0.904114,-0.009812,1.02183,0.007351,0.822015,0.940171,110,0.681818,15,0.318182,7,0.059829,7,0.88,0.940171,0.909091,0.313327,0.767483,0.934631,0.81295,0.578996,0.421004,0.18705,?,0.81295,?,?,0.764782,0.815706,?,0.81295,0.055,0.012,0.03125,0.015625,31.25,15.625,183916,149161,19174,94.964029,23.741007,?,?
solar-flare-C-class,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,113,26,0,81.294964,18.705036,0,0.110947,0.057512,0.177281,91.356613,100.460295,124.307949,137.441631,-13.133682,0.894302,0.988789,-0.094487,-1.857293,-0.013362,-1.494106,0.965812,113,0.772727,17,0.227273,5,0.034188,4,0.869231,0.965812,0.91498,0.286391,0.742618,0.923016,0.81295,0.652936,0.347064,0.18705,?,0.81295,?,?,0.734452,0.800485,?,0.81295,0.056,0.013,0.0625,0.015625,62.5,15.625,184036,149161,19174,94.964029,22.701839,?,?
solar-flare-C-class,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,118,21,0,84.892086,15.107914,0,0.330044,0.057293,0.173397,91.010885,98.261412,123.892911,126.781665,-2.888754,0.891316,0.912098,-0.020782,1.669612,0.012012,1.347625,0.965812,113,0.636364,14,0.363636,8,0.034188,4,0.889764,0.965812,0.92623,0.428153,0.797591,0.946507,0.848921,0.538161,0.461839,0.151079,?,0.848921,?,?,0.791971,0.839464,?,0.848921,0.055,0.012,0.046875,0.015625,46.875,15.625,183573,149161,19174,93.52518,23.261391,?,?
solar-flare-C-class,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,110,29,0,79.136691,20.863309,0,0.154217,0.059942,0.18552,95.218271,105.131329,123.892911,135.86981,-11.976899,0.891316,0.977481,-0.086165,-3.499953,-0.02518,-2.824983,0.923077,108,0.681818,15,0.318182,7,0.076923,9,0.878049,0.923077,0.9,0.275915,0.718143,0.912156,0.791367,0.58163,0.41837,0.208633,?,0.791367,?,?,0.712902,0.797728,?,0.791367,0.169,0.016,0.09375,0.015625,93.75,15.625,184065,149161,19174,94.964029,23.741007,?,?
solar-flare-C-class,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,111,28,0,79.856115,20.143885,0,0.201149,0.064509,0.186878,102.472735,105.901182,123.892911,140.427064,-16.534153,0.891316,1.010267,-0.118951,-9.98186,-0.071812,-8.056845,0.91453,107,0.681818,15,0.318182,7,0.08547,10,0.877049,0.91453,0.895397,0.25925,0.724359,0.922256,0.798561,0.581255,0.418745,0.201439,?,0.798561,?,?,0.721486,0.799146,?,0.798561,0.077,0.014,0.046875,0.015625,46.875,15.625,184193,149161,19174,96.402878,25.259792,?,?
solar-flare-C-class,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,112,27,0,80.57554,19.42446,0,0.140009,0.058455,0.180779,92.856493,102.444993,123.892911,143.309566,-19.416654,0.891316,1.031004,-0.139688,0.874314,0.00629,0.705701,0.940171,110,0.772727,17,0.227273,5,0.059829,7,0.866142,0.940171,0.901639,0.217611,0.749417,0.937182,0.805755,0.654927,0.345073,0.194245,?,0.805755,?,?,0.743301,0.819204,?,0.805755,0.065,0.018,0.0625,0.015625,62.5,15.625,183342,149161,19174,92.086331,23.341327,?,?
solar-flare-C-class,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0318,1250,139,114,25,0,82.014388,17.985612,0,0.213801,0.054577,0.177098,86.690407,100.352036,125.892911,134.889779,-8.996867,0.905704,0.97043,-0.064726,5.336613,0.038393,4.23901,0.948718,111,0.681818,15,0.318182,7,0.051282,6,0.880952,0.948718,0.91358,0.334577,0.684732,0.908903,0.820144,0.581208,0.418792,0.179856,?,0.820144,?,?,0.678173,0.800804,?,0.820144,0.07,0.017,0.0625,0,62.5,0,183242,149161,19174,92.086331,21.342926,?,?
