@relation InstanceResultListener

@attribute Key_Dataset {solar-flare-M-class}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

solar-flare-M-class,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,129,10,0,92.805755,7.194245,0,0.134496,0.033157,0.131984,107.243144,112.046014,41.042921,43.52679,-2.483869,0.295273,0.313142,-0.01787,-35.181721,-0.253106,-85.71934,0.962406,128,0.833333,5,0.166667,1,0.037594,5,0.962406,0.962406,0.962406,0.129073,0.771303,0.984973,0.928058,0.798704,0.201296,0.071942,0.928058,0.928058,0.928058,0.129353,0.771162,0.953685,0.654135,0.928058,0.061,0.008,0.0625,0.015625,62.5,15.625,174282,149104,19117,98.561151,22.302158,?,?
solar-flare-M-class,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,130,9,0,93.52518,6.47482,0,0.153013,0.034291,0.142442,104.374781,112.425799,45.662131,56.261393,-10.599263,0.328505,0.404758,-0.076254,-39.541156,-0.284469,-86.595074,0.977273,129,0.857143,6,0.142857,1,0.022727,3,0.955556,0.977273,0.966292,0.157141,0.720779,0.980718,0.935252,0.814951,0.185049,0.064748,?,0.935252,?,?,0.720648,0.937266,?,0.935252,0.065,0.009,0.0625,0.015625,62.5,15.625,174197,149104,19117,96.402878,22.781775,?,?
solar-flare-M-class,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,128,11,0,92.086331,7.913669,0,0.12328,0.037635,0.148626,114.554149,117.306221,45.662131,62.795942,-17.133811,0.328505,0.451769,-0.123265,-37.30296,-0.268367,-81.693428,0.962121,127,0.857143,6,0.142857,1,0.037879,5,0.954887,0.962121,0.958491,0.112963,0.825758,0.989312,0.920863,0.814783,0.185217,0.079137,0.921188,0.920863,0.919814,0.116336,0.824514,0.949227,0.393571,0.920863,0.058,0.011,0.0625,0.015625,62.5,15.625,174230,149104,19117,97.122302,22.781775,?,?
solar-flare-M-class,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,129,10,0,92.805755,7.194245,0,0.380846,0.038367,0.137118,116.726885,108.165956,48.832056,46.767407,2.064649,0.35131,0.336456,0.014854,-43.274461,-0.311327,-88.618963,0.954545,126,0.428571,3,0.571429,4,0.045455,6,0.976744,0.954545,0.965517,0.445149,0.892316,0.993223,0.928058,0.408611,0.591389,0.071942,?,0.928058,?,?,0.891874,0.955676,?,0.928058,0.067,0.009,0.078125,0,78.125,0,173205,149104,19117,97.841727,23.261391,?,?
solar-flare-M-class,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,132,7,0,94.964029,5.035971,0,0.344781,0.029635,0.124098,89.990571,97.679553,50.098357,52.079022,-1.980665,0.36042,0.374669,-0.014249,-29.233734,-0.210315,-58.35268,0.992424,131,0.571429,4,0.428571,3,0.007576,1,0.97037,0.992424,0.981273,0.550702,0.756494,0.982602,0.94964,0.543241,0.456759,0.05036,?,0.94964,?,?,0.754687,0.944546,?,0.94964,0.05,0.008,0.046875,0,46.875,0,174020,149104,19117,97.122302,21.942446,?,?
solar-flare-M-class,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,130,9,0,93.52518,6.47482,0,0.331016,0.036124,0.13412,109.693852,105.568446,50.098357,47.87389,2.224467,0.36042,0.344416,0.016003,-38.061849,-0.273826,-75.974247,0.977273,129,0.428571,3,0.571429,4,0.022727,3,0.977273,0.977273,0.977273,0.548701,0.907468,0.994251,0.935252,0.408167,0.591833,0.064748,?,0.935252,?,?,0.905997,0.953029,?,0.935252,0.06,0.009,0.0625,0,62.5,0,173453,149104,19117,97.841727,23.021583,?,?
solar-flare-M-class,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,126,13,0,90.647482,9.352518,0,0.096952,0.039193,0.157516,119.020053,123.991806,49.513394,72.553095,-23.039701,0.356211,0.521965,-0.165753,-42.667176,-0.306958,-86.172997,0.94697,125,0.857143,6,0.142857,1,0.05303,7,0.954198,0.94697,0.95057,0.084345,0.765152,0.985351,0.906475,0.815424,0.184576,0.093525,?,0.906475,?,?,0.763701,0.941942,?,0.906475,0.053,0.007,0.046875,0,46.875,0,173836,149104,19117,95.683453,22.541966,?,?
solar-flare-M-class,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,127,12,0,91.366906,8.633094,0,0.336251,0.038498,0.14432,116.909273,113.604219,49.513394,69.879497,-20.366103,0.356211,0.50273,-0.146519,-38.696426,-0.278392,-78.153451,0.939394,124,0.428571,3,0.571429,4,0.060606,8,0.976378,0.939394,0.957529,0.397753,0.780303,0.967655,0.913669,0.408539,0.591461,0.086331,?,0.913669,?,?,0.780246,0.937101,?,0.913669,0.056,0.009,0.046875,0.015625,46.875,15.625,174017,149104,19117,95.683453,23.501199,?,?
solar-flare-M-class,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0325,1250,139,130,9,0,93.52518,6.47482,0,0.278963,0.039617,0.14073,120.308028,110.778508,49.513394,60.419604,-10.90621,0.356211,0.434673,-0.078462,-51.911481,-0.373464,-104.843309,0.969697,128,0.714286,5,0.285714,2,0.030303,4,0.962406,0.969697,0.966038,0.274837,0.82684,0.988784,0.935252,0.679388,0.320612,0.064748,?,0.935252,?,?,0.824331,0.956565,?,0.935252,0.057,0.008,0.0625,0,62.5,0,173931,149104,19117,97.841727,24.100719,?,?
