@relation InstanceResultListener

@attribute Key_Dataset {solar-flare-X-class}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

solar-flare-X-class,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,135,4,0,97.122302,2.877698,0,-0.010909,0.021865,0.117076,188.153325,169.573803,8.908128,14.741556,-5.833429,0.064087,0.106054,-0.041967,-44.743431,-0.321895,-502.276488,0.978261,135,1,1,0,0,0.021739,3,0.992647,0.978261,0.985401,-0.012643,0.978261,0.999842,0.971223,0.992962,0.007038,0.028777,0.985506,0.971223,0.978312,-0.012643,0.978261,0.994448,0.492701,0.971223,0.062,0.005,0.0625,0,62.5,0,164794,149047,19060,99.280576,36.211031,?,?
solar-flare-X-class,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,131,8,0,94.244604,5.755396,0,-0.01275,0.03968,0.171518,341.450015,248.427065,8.908128,36.253547,-27.34542,0.064087,0.260817,-0.19673,-73.845849,-0.531265,-828.971605,0.949275,131,1,1,0,0,0.050725,7,0.992424,0.949275,0.97037,-0.019603,0.612319,0.996456,0.942446,0.993171,0.006829,0.057554,0.985284,0.942446,0.963389,-0.019603,0.612371,0.989421,0.485185,0.942446,0.051,0.005,0.046875,0.015625,46.875,15.625,164744,149047,19060,98.561151,36.930456,?,?
solar-flare-X-class,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,133,6,0,95.683453,4.316547,0,0.240437,0.028855,0.133572,248.303271,193.466879,8.908128,18.881421,-9.973293,0.064087,0.135838,-0.07175,-65.892593,-0.474047,-739.690712,0.956522,132,0,0,1,1,0.043478,6,1,0.956522,0.977778,0.369657,0.992754,0.999948,0.956835,0.000313,0.999687,0.043165,0.993834,0.956835,0.972542,0.369657,0.992754,0.996351,0.613889,0.956835,0.054,0.005,0.0625,0,62.5,0,165210,149047,19060,99.280576,37.889688,?,?
solar-flare-X-class,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,137,2,0,98.561151,1.438849,0,-0.007246,0.014034,0.092235,120.764131,133.593911,8.908128,12.675661,-3.767533,0.064087,0.091192,-0.027105,-32.111359,-0.231017,-360.47259,0.992754,137,1,1,0,0,0.007246,1,0.992754,0.992754,0.992754,-0.007246,0.84058,0.998756,0.985612,0.992858,0.007142,0.014388,0.985612,0.985612,0.985612,-0.007246,0.840528,0.991871,0.496377,0.985612,0.049,0.009,0.046875,0.015625,46.875,15.625,164737,149047,19060,99.280576,35.01199,?,?
solar-flare-X-class,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,136,3,0,97.841727,2.158273,0,0.393013,0.019481,0.095427,167.638494,138.2164,8.908128,8.724233,0.183895,0.064087,0.062764,0.001323,-43.204428,-0.310823,-485.000102,0.978261,135,0,0,1,1,0.021739,3,1,0.978261,0.989011,0.494535,1,1,0.978417,0.000156,0.999844,0.021583,0.994604,0.978417,0.984773,0.494535,1,1,0.694505,0.978417,0.044,0.005,0.046875,0,46.875,0,165070,149047,19060,100,36.450839,?,?
solar-flare-X-class,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,135,4,0,97.122302,2.877698,0,-0.010909,0.02417,0.124368,207.981996,180.135334,8.908128,20.19995,-11.291823,0.064087,0.145323,-0.081236,-49.81869,-0.358408,-559.249844,0.978261,135,1,1,0,0,0.021739,3,0.992647,0.978261,0.985401,-0.012643,0.804348,0.998443,0.971223,0.992962,0.007038,0.028777,0.985506,0.971223,0.978312,-0.012643,0.8044,0.991526,0.492701,0.971223,0.044,0.004,0.03125,0.015625,31.25,15.625,164954,149047,19060,98.561151,35.731415,?,?
solar-flare-X-class,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,137,2,0,98.561151,1.438849,0,0.494545,0.01565,0.085508,134.670039,123.849588,8.908128,7.955449,0.952678,0.064087,0.057233,0.006854,-35.025919,-0.251985,-393.190584,0.985507,136,0,0,1,1,0.014493,2,1,0.985507,0.992701,0.573151,0.992754,0.999948,0.985612,0.000104,0.999896,0.014388,0.995204,0.985612,0.989156,0.573151,0.992754,0.996351,0.74635,0.985612,0.044,0.005,0.046875,0,46.875,0,165156,149047,19060,100,36.450839,?,?
solar-flare-X-class,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,135,4,0,97.122302,2.877698,0,0.320293,0.022891,0.121176,144.80357,124.477429,15.840497,16.710656,-0.870159,0.11396,0.120221,-0.00626,-34.832142,-0.250591,-219.892986,0.978102,134,0.5,1,0.5,1,0.021898,3,0.992593,0.978102,0.985294,0.340564,0.967153,0.999514,0.971223,0.493121,0.506879,0.028777,0.981908,0.971223,0.975913,0.340564,0.967153,0.990168,0.659314,0.971223,0.051,0.005,0.0625,0,62.5,0,164944,149047,19060,98.561151,36.211031,?,?
solar-flare-X-class,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0331,1250,139,135,4,0,97.122302,2.877698,0,0.189504,0.021715,0.134766,137.095039,138.186881,19.024922,31.080597,-12.055676,0.13687,0.223601,-0.086731,-25.934699,-0.186581,-136.319612,0.985401,135,0.5,1,0.5,1,0.014599,2,0.992647,0.985401,0.989011,0.397783,0.875912,0.997978,0.971223,0.492962,0.507038,0.028777,?,0.971223,?,?,0.875717,0.985029,?,0.971223,0.05,0.005,0.046875,0,46.875,0,164430,149047,19060,97.122302,34.052758,?,?
