@relation InstanceResultListener

@attribute Key_Dataset {spect}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-9204394360557300093,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

spect,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,24,3,0,88.888889,11.111111,0,0.727273,0.121338,0.248747,36.004507,59.79036,20.661958,8.483081,12.178877,0.765258,0.314188,0.45107,12.570734,0.465583,60.839994,1,6,0.142857,3,0.857143,18,0,0,0.666667,1,0.8,0.755929,0.984127,0.948413,0.888889,0.031746,0.968254,0.111111,0.925926,0.888889,0.895726,0.755929,0.984127,0.985316,0.861538,0.888889,0.02,0.002,0.03125,0,31.25,0,73947,55036,9667,100,68.518519,?,?
spect,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,20,7,0,74.074074,25.925926,0,0.422018,0.270721,0.44849,80.331001,107.801574,20.661958,30.510913,-9.848955,0.765258,1.130034,-0.364776,1.417475,0.052499,6.860313,0.833333,5,0.285714,6,0.714286,15,0.166667,1,0.454545,0.833333,0.588235,0.463348,0.837302,0.490944,0.740741,0.193122,0.806878,0.259259,0.830177,0.740741,0.76135,0.463348,0.837302,0.850689,0.699523,0.740741,0.024,0.002,0.015625,0.015625,15.625,15.625,73809,55036,9667,85.185185,66.666667,?,?
spect,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,24,3,0,88.888889,11.111111,0,0.727273,0.17409,0.314412,51.657833,75.573754,20.661958,12.887286,7.774672,0.765258,0.477307,0.287951,8.855099,0.327967,42.857016,1,6,0.142857,3,0.857143,18,0,0,0.666667,1,0.8,0.755929,0.960317,0.877381,0.888889,0.031746,0.968254,0.111111,0.925926,0.888889,0.895726,0.755929,0.960317,0.964755,0.861538,0.888889,0.019,0.002,0.015625,0,15.625,0,73768,55036,9667,96.296296,72.222222,?,?
spect,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,22,5,0,81.481481,18.518519,0,0.494382,0.211862,0.369082,62.865851,88.71458,20.661958,21.617645,-0.955687,0.765258,0.800654,-0.035396,5.804737,0.21499,28.09384,0.666667,4,0.142857,3,0.857143,18,0.333333,2,0.571429,0.666667,0.615385,0.496929,0.849206,0.692909,0.814815,0.291005,0.708995,0.185185,0.826984,0.814815,0.819679,0.496929,0.849206,0.89112,0.746717,0.814815,0.022,0.003,0.03125,0,31.25,0,73498,55036,9667,92.592593,72.222222,?,?
spect,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,18,9,0,66.666667,33.333333,0,0.319328,0.312931,0.501905,92.855986,120.640829,20.661958,31.080372,-10.418414,0.765258,1.151125,-0.385867,-2.254873,-0.083514,-10.913165,0.833333,5,0.380952,8,0.619048,13,0.166667,1,0.384615,0.833333,0.526316,0.376404,0.884921,0.679762,0.666667,0.214286,0.785714,0.333333,0.807692,0.666667,0.694737,0.376404,0.884921,0.900405,0.634586,0.666667,0.025,0.002,0.015625,0.015625,15.625,15.625,73879,55036,9667,96.296296,72.222222,?,?
spect,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,24,3,0,88.888889,11.111111,0,0.701107,0.133702,0.31028,42.061174,79.70464,18.743746,14.795348,3.948398,0.694213,0.547976,0.146237,9.874088,0.365707,52.679373,1,5,0.136364,3,0.863636,19,0,0,0.625,1,0.769231,0.734692,0.931818,0.645,0.888889,0.025253,0.974747,0.111111,0.930556,0.888889,0.897644,0.734692,0.931818,0.921007,0.84803,0.888889,0.022,0.002,0.015625,0,15.625,0,73829,55036,9667,92.592593,61.111111,?,?
spect,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,240,27,20,7,0,74.074074,25.925926,0,0.380328,0.277421,0.442036,87.273389,113.550006,18.743746,28.915567,-10.171821,0.694213,1.070947,-0.376734,-1.680925,-0.062256,-8.967925,0.8,4,0.272727,6,0.727273,16,0.2,1,0.4,0.8,0.533333,0.424138,0.818182,0.489841,0.740741,0.213468,0.786532,0.259259,0.840959,0.740741,0.767331,0.424138,0.818182,0.863672,0.676923,0.740741,0.024,0.002,0.015625,0,15.625,0,73782,55036,9667,88.888889,70.37037,?,?
spect,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,241,26,20,6,0,76.923077,23.076923,0,0.355372,0.2273,0.440407,70.708231,111.635292,18.398786,29.34831,-10.949524,0.707646,1.128781,-0.421136,3.187398,0.122592,17.323961,0.6,3,0.190476,4,0.809524,17,0.4,2,0.428571,0.6,0.5,0.363871,0.828571,0.732967,0.769231,0.359707,0.640293,0.230769,0.80509,0.769231,0.782692,0.363871,0.828571,0.911514,0.675,0.769231,0.025,0.002,0.03125,0,31.25,0,73956,55249,9454,84.615385,61.538462,?,?
spect,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0337,241,26,20,6,0,76.923077,23.076923,0,0.257143,0.217909,0.398461,67.786699,101.002853,18.398786,17.375908,1.022878,0.707646,0.668304,0.039341,3.095196,0.119046,16.822829,0.4,2,0.142857,3,0.857143,18,0.6,3,0.4,0.4,0.4,0.257143,0.8,0.61859,0.769231,0.512088,0.487912,0.230769,0.769231,0.769231,0.769231,0.257143,0.8,0.886713,0.628571,0.769231,0.024,0.002,0.03125,0,31.25,0,73999,55249,9454,100,71.153846,?,?
