@relation InstanceResultListener

@attribute Key_Dataset {splice}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 4'}
@attribute Key_Scheme_version_ID {-9204394360557300093}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

splice,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,303,16,0,94.984326,5.015674,0,0.918568,0.045822,0.158717,11.166948,35.028061,472.728597,63.685968,409.04263,1.481908,0.199643,1.282265,429.173863,1.345373,90.786524,0.948052,73,0.020661,5,0.979339,237,0.051948,4,0.935897,0.948052,0.941935,0.923336,0.993292,0.975651,0.949843,0.032488,0.967512,0.050157,0.949879,0.949843,0.949842,0.917371,0.993603,0.988296,0.946896,0.949843,1.195,0.23,1.140625,0.234375,1140.625,234.375,272957,1496886,177502,98.746082,39.289446,?
splice,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,306,13,0,95.924765,4.075235,0,0.933929,0.04306,0.140415,10.493862,30.98895,472.728597,47.22084,425.507757,1.481908,0.148028,1.33388,432.043729,1.354369,91.39361,0.935065,72,0.008264,2,0.991736,240,0.064935,5,0.972973,0.935065,0.953642,0.939594,0.997639,0.993027,0.959248,0.024773,0.975227,0.040752,0.959827,0.959248,0.959295,0.933608,0.997063,0.99485,0.956525,0.959248,0.863,0.187,0.8125,0.1875,812.5,187.5,277822,1496886,177502,99.68652,40.961338,?
splice,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,305,14,0,95.611285,4.388715,0,0.928546,0.04671,0.153705,11.383196,33.921971,472.728597,62.468792,410.259805,1.481908,0.195827,1.286081,429.068895,1.345044,90.76432,0.935065,72,0.016529,4,0.983471,238,0.064935,5,0.947368,0.935065,0.941176,0.922655,0.995224,0.984443,0.956113,0.030493,0.969507,0.043887,0.956087,0.956113,0.956062,0.927872,0.993656,0.988748,0.953093,0.956113,0.853,0.182,0.8125,0.1875,812.5,187.5,277800,1496886,177502,98.746082,39.916405,?
splice,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,300,19,0,94.043887,5.956113,0,0.903027,0.04531,0.156277,11.042115,34.489567,472.728597,59.420836,413.307762,1.481908,0.186272,1.295636,427.957812,1.341561,90.529284,0.909091,70,0.028926,7,0.971074,235,0.090909,7,0.909091,0.909091,0.909091,0.880165,0.995063,0.985692,0.940439,0.037841,0.962159,0.059561,0.940405,0.940439,0.940365,0.904825,0.994404,0.99067,0.933711,0.940439,0.814,0.087,0.734375,0.078125,734.375,78.125,277542,1496886,177502,99.373041,39.602926,?
splice,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,308,11,0,96.551724,3.448276,0,0.944094,0.033167,0.129786,8.082741,28.643112,472.728597,47.482299,425.246298,1.481908,0.148847,1.33306,441.993096,1.385558,93.498277,0.961039,74,0.008264,2,0.991736,240,0.038961,3,0.973684,0.961039,0.96732,0.957047,0.999517,0.998474,0.965517,0.020417,0.979583,0.034483,0.965755,0.965517,0.965584,0.944076,0.994939,0.992583,0.962894,0.965517,0.772,0.105,0.78125,0.09375,781.25,93.75,277080,1496886,177502,98.746082,38.557994,?
splice,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,306,13,0,95.924765,4.075235,0,0.933172,0.041959,0.140449,10.238373,31.040231,471.623505,55.099031,416.524474,1.478444,0.172724,1.305719,431.02113,1.351163,91.390935,0.896104,69,0.012397,3,0.987603,239,0.103896,8,0.958333,0.896104,0.926174,0.904579,0.99297,0.983091,0.959248,0.032162,0.967838,0.040752,0.959328,0.959248,0.958925,0.932983,0.99603,0.992928,0.955739,0.959248,0.841,0.12,0.8125,0.125,812.5,125,277467,1496886,177502,99.373041,40.438871,?
splice,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,304,15,0,95.297806,4.702194,0,0.923877,0.046562,0.153583,11.36145,33.943065,471.623505,57.775929,413.847576,1.478444,0.181116,1.297328,426.985882,1.338514,90.535327,0.935065,72,0.024793,6,0.975207,236,0.064935,5,0.923077,0.935065,0.929032,0.906292,0.993185,0.979049,0.952978,0.01965,0.98035,0.047022,0.953898,0.952978,0.95327,0.929159,0.995826,0.990556,0.944558,0.952978,0.864,0.095,0.828125,0.09375,828.125,93.75,277158,1496886,177502,99.68652,40.752351,?
splice,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,298,21,0,93.416928,6.583072,0,0.892351,0.057964,0.177435,14.143673,39.214533,471.62119,89.251261,382.369929,1.478436,0.279785,1.198652,413.306318,1.295631,87.635231,0.894737,68,0.020576,5,0.979424,238,0.105263,8,0.931507,0.894737,0.912752,0.886487,0.993448,0.981543,0.934169,0.042495,0.957505,0.065831,0.934026,0.934169,0.93397,0.895057,0.990509,0.984782,0.925689,0.934169,0.799,0.104,0.78125,0.109375,781.25,109.375,277073,1496886,177502,98.746082,41.065831,?
splice,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,299,20,0,93.730408,6.269592,0,0.897915,0.050014,0.164697,12.203853,36.399241,471.62119,72.684865,398.936324,1.478436,0.227852,1.250584,422.046642,1.32303,89.488482,0.894737,68,0.020576,5,0.979424,238,0.105263,8,0.931507,0.894737,0.912752,0.886487,0.988846,0.977488,0.937304,0.034286,0.965714,0.062696,0.937718,0.937304,0.937343,0.903223,0.990972,0.983915,0.927022,0.937304,0.809,0.096,0.796875,0.09375,796.875,93.75,276704,1496886,177502,99.059561,39.811912,?
splice,1,10,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,309,10,0,96.865204,3.134796,0,0.949032,0.034489,0.137222,8.41562,30.327136,471.62119,72.675451,398.945738,1.478436,0.227823,1.250614,439.464212,1.377631,93.181609,0.960526,73,0.00823,2,0.99177,241,0.039474,3,0.973333,0.960526,0.966887,0.956657,0.998809,0.99618,0.968652,0.019555,0.980445,0.031348,0.96881,0.968652,0.968678,0.948024,0.988401,0.977301,0.967079,0.968652,0.815,0.118,0.8125,0.109375,812.5,109.375,277620,1496886,177502,99.059561,38.349007,?
splice,2,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,300,19,0,94.043887,5.956113,0,0.902597,0.048247,0.157165,11.772759,34.734786,471.62119,60.29567,411.325519,1.478436,0.189015,1.289422,424.656585,1.331212,90.04188,0.868421,66,0.012346,3,0.987654,240,0.131579,10,0.956522,0.868421,0.910345,0.885783,0.996426,0.987925,0.940439,0.040534,0.959466,0.059561,0.941069,0.940439,0.940063,0.903639,0.994029,0.99093,0.934093,0.940439,0.772,0.12,0.78125,0.109375,781.25,109.375,277424,1496886,177502,99.373041,40.543365,?
splice,2,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,309,10,0,96.865204,3.134796,0,0.94896,0.03434,0.127416,8.379337,28.159974,471.62119,50.879113,420.742076,1.478436,0.159496,1.318941,439.387127,1.377389,93.165264,0.947368,72,0.016461,4,0.983539,239,0.052632,4,0.947368,0.947368,0.947368,0.930908,0.991499,0.986219,0.968652,0.019521,0.980479,0.031348,0.968652,0.968652,0.968652,0.949131,0.993585,0.989984,0.965766,0.968652,0.75,0.114,0.734375,0.125,734.375,125,272302,1496886,177502,99.373041,38.349007,?
splice,2,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,304,15,0,95.297806,4.702194,0,0.92311,0.045358,0.15496,11.067649,34.247469,471.62119,86.182777,385.438412,1.478436,0.270165,1.208271,426.620933,1.33737,90.458389,0.921053,70,0.020576,5,0.979424,238,0.078947,6,0.933333,0.921053,0.927152,0.9046,0.992853,0.977819,0.952978,0.029299,0.970701,0.047022,0.952769,0.952978,0.952784,0.927112,0.989093,0.98075,0.944832,0.952978,0.833,0.128,0.84375,0.109375,843.75,109.375,277636,1496886,177502,98.746082,40.020899,?
splice,2,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0346,2871,319,298,21,0,93.416928,6.583072,0,0.893124,0.050774,0.176719,12.389228,39.056187,471.623505,78.435933,393.187572,1.478444,0.245881,1.232563,419.876658,1.316228,89.027933,0.909091,70,0.028926,7,0.971074,235,0.090909,7,0.909091,0.909091,0.909091,0.880165,0.994472,0.984349,0.934169,0.037653,0.962347,0.065831,0.934464,0.934169,0.934262,0.894412,0.992186,0.985827,0.927561,0.934169,0.79,0.142,0.796875,0.140625,796.875,140.625,277114,1496886,177502,98.746082,39.707419,?
splice,2,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,304,15,0,95.297806,4.702194,0,0.923545,0.045113,0.153985,11.00801,34.031791,471.623505,69.442333,402.181172,1.478444,0.217688,1.260756,429.374518,1.346002,91.041798,0.974026,75,0.024793,6,0.975207,236,0.025974,2,0.925926,0.974026,0.949367,0.933243,0.997048,0.990806,0.952978,0.029333,0.970667,0.047022,0.953406,0.952978,0.95295,0.922725,0.992911,0.989817,0.949896,0.952978,0.785,0.109,0.796875,0.109375,796.875,109.375,277775,1496886,177502,99.059561,39.393939,?
splice,2,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,311,8,0,97.492163,2.507837,0,0.959227,0.038403,0.128218,9.358822,28.296984,472.728597,40.259654,432.468943,1.481908,0.126206,1.355702,437.387089,1.371119,92.523933,0.961039,74,0.004132,1,0.995868,241,0.038961,3,0.986667,0.961039,0.973684,0.9656,0.99839,0.995056,0.974922,0.017425,0.982575,0.025078,0.975034,0.974922,0.974923,0.958697,0.997535,0.99604,0.973426,0.974922,0.796,0.093,0.796875,0.09375,796.875,93.75,277729,1496886,177502,100,40.856844,?
splice,2,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,301,18,0,94.357367,5.642633,0,0.908131,0.052165,0.171282,12.712676,37.801026,472.728597,75.573699,397.154898,1.481908,0.236908,1.245,421.093878,1.320044,89.077302,0.922078,71,0.020661,5,0.979339,237,0.077922,6,0.934211,0.922078,0.928105,0.905459,0.993077,0.981366,0.943574,0.036844,0.963156,0.056426,0.943462,0.943574,0.94348,0.908922,0.992929,0.987946,0.938013,0.943574,0.79,0.113,0.78125,0.109375,781.25,109.375,276961,1496886,177502,98.432602,39.811912,?
splice,2,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,310,9,0,97.178683,2.821317,0,0.954514,0.036896,0.132653,8.991655,29.275942,472.728597,46.23797,426.490627,1.481908,0.144947,1.336961,439.278549,1.377049,92.924048,0.948052,73,0.008264,2,0.991736,240,0.051948,4,0.973333,0.948052,0.960526,0.948325,0.99576,0.986324,0.971787,0.008977,0.991023,0.028213,0.973448,0.971787,0.97202,0.957914,0.99668,0.993964,0.967221,0.971787,0.771,0.106,0.765625,0.109375,765.625,109.375,277151,1496886,177502,99.373041,39.289446,?
splice,2,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,306,13,0,95.924765,4.075235,0,0.933557,0.042993,0.145605,10.47749,32.134224,472.728597,53.088288,419.64031,1.481908,0.166421,1.315487,430.698009,1.35015,91.108939,0.948052,73,0.012397,3,0.987603,239,0.051948,4,0.960526,0.948052,0.954248,0.939851,0.997531,0.992412,0.959248,0.029496,0.970504,0.040752,0.959265,0.959248,0.959166,0.933186,0.99643,0.993588,0.956195,0.959248,0.807,0.096,0.796875,0.109375,796.875,109.375,277382,1496886,177502,99.68652,40.334378,?
